Reference, Value, Footprint, Datasheet
U1,MCP23017,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,http://www.farnell.com/datasheets/2243622.pdf
U3,MIC2505,SMD_Packages:SOIC-8-N,http://www.farnell.com/datasheets/29433.pdf
P1,ADDR,Buttons_Switches_ThroughHole:SW_DIP_x3_W7.62mm_Slide,http://www.farnell.com/datasheets/32987.pdf
R1,4.7k,Resistors_SMD:R_0603,http://www.farnell.com/datasheets/1788326.pdf
R2,4.7k,Resistors_SMD:R_0603,http://www.farnell.com/datasheets/1788326.pdf
R3,4.7k,Resistors_SMD:R_0603,http://www.farnell.com/datasheets/1788326.pdf
P2,I2C_IN,Connectors_JST:JST_XH_B03B-XH-A_03x2.50mm_Straight,http://www.farnell.com/datasheets/2082976.pdf
P6,OUT1,Terminal_Blocks:TerminalBlock_WAGO-236_2Stift_RM5mm_8pol,http://www.farnell.com/datasheets/63479.pdf
P5,OUT2,Terminal_Blocks:TerminalBlock_WAGO-236_2Stift_RM5mm_8pol,http://www.farnell.com/datasheets/63479.pdf
C2,0.1u,Capacitors_SMD:C_0603,http://www.farnell.com/datasheets/1901289.pdf
U4,MIC2505,SMD_Packages:SOIC-8-N,http://www.farnell.com/datasheets/29433.pdf
C3,0.1u,Capacitors_SMD:C_0603,http://www.farnell.com/datasheets/1901289.pdf
U5,MIC2505,SMD_Packages:SOIC-8-N,http://www.farnell.com/datasheets/29433.pdf
C4,0.1u,Capacitors_SMD:C_0603,http://www.farnell.com/datasheets/1901289.pdf
U6,MIC2505,SMD_Packages:SOIC-8-N,http://www.farnell.com/datasheets/29433.pdf
C5,0.1u,Capacitors_SMD:C_0603,http://www.farnell.com/datasheets/1901289.pdf
U2,MIC2505,SMD_Packages:SOIC-8-N,http://www.farnell.com/datasheets/29433.pdf
C1,0.1u,Capacitors_SMD:C_0603,http://www.farnell.com/datasheets/1901289.pdf
U7,MIC2505,SMD_Packages:SOIC-8-N,http://www.farnell.com/datasheets/29433.pdf
C6,0.1u,Capacitors_SMD:C_0603,http://www.farnell.com/datasheets/1901289.pdf
U8,MIC2505,SMD_Packages:SOIC-8-N,http://www.farnell.com/datasheets/29433.pdf
C7,0.1u,Capacitors_SMD:C_0603,http://www.farnell.com/datasheets/1901289.pdf
U9,MIC2505,SMD_Packages:SOIC-8-N,http://www.farnell.com/datasheets/29433.pdf
C8,0.1u,Capacitors_SMD:C_0603,http://www.farnell.com/datasheets/1901289.pdf
P4,INT,Connectors_JST:JST_XH_B03B-XH-A_03x2.50mm_Straight,http://www.farnell.com/datasheets/2082976.pdf
P7,I2C_OUT,Connectors_JST:JST_XH_B03B-XH-A_03x2.50mm_Straight,http://www.farnell.com/datasheets/2082976.pdf
P3,PWR,w_conn_pc:conn_hdd_15-24-4449,http://www.farnell.com/datasheets/2051845.pdf
